S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,Nivel_agua,Nivel_total
1524.09293,1524.67084,1530.24833,1538.64142,1552.56274,1553.28021,1531.00084,1539.25891,1544.75152,1550.43045,1545.13997,257.0,257.0
1524.09446,1524.67092,1530.24802,1538.64196,1552.5641,1553.28049,1531.00008,1539.25961,1544.75092,1550.42994,1545.14046,257.0,257.0
1524.09372,1524.67159,1530.24837,1538.64218,1552.56438,1553.28004,1531.00064,1539.25905,1544.75135,1550.42984,1545.14046,257.0,257.0
1524.09461,1524.67182,1530.24837,1538.64211,1552.56301,1553.28039,1530.99946,1539.26111,1544.7512,1550.43029,1545.14053,257.0,257.0
1524.09273,1524.6705,1530.24944,1538.64199,1552.5648,1553.28131,1531.00043,1539.25905,1544.75112,1550.42974,1545.13941,257.0,257.0
1524.09285,1524.67101,1530.24945,1538.64224,1552.56294,1553.27975,1531.0004,1539.25957,1544.75137,1550.42909,1545.14075,257.0,257.0
1524.09294,1524.67047,1530.24862,1538.64156,1552.56319,1553.27995,1531.00059,1539.25924,1544.75113,1550.43008,1545.14062,257.0,257.0
1524.09285,1524.67085,1530.24793,1538.64186,1552.56352,1553.27873,1531.00032,1539.25917,1544.75166,1550.4296,1545.14028,257.0,257.0
1524.0932,1524.67029,1530.24778,1538.64163,1552.56297,1553.27956,1530.99948,1539.25919,1544.752,1550.42881,1545.14026,257.0,257.0
1524.09344,1524.67118,1530.2494,1538.64174,1552.56658,1553.28027,1531.00057,1539.25915,1544.75056,1550.42925,1545.13944,257.0,257.0
1524.09378,1524.67088,1530.24964,1538.6417,1552.5666,1553.27989,1531.00041,1539.26013,1544.75174,1550.42965,1545.14029,257.0,257.0
1524.09368,1524.67055,1530.24865,1538.64104,1552.56587,1553.27934,1531.00061,1539.25999,1544.75157,1550.43006,1545.13998,257.0,257.0
1524.09269,1524.67006,1530.24854,1538.6417,1552.56502,1553.28049,1531.001,1539.25977,1544.75258,1550.42977,1545.13987,257.0,257.0
1524.09308,1524.67069,1530.24807,1538.64163,1552.56373,1553.28004,1531.00143,1539.25942,1544.75114,1550.42871,1545.13983,257.0,257.0
1524.09282,1524.66973,1530.24821,1538.64161,1552.56454,1553.28138,1531.0006,1539.25905,1544.75143,1550.42879,1545.13914,257.0,257.0
1524.09342,1524.67,1530.24893,1538.64156,1552.5643,1553.28089,1531.0013,1539.25967,1544.7528,1550.42905,1545.14017,257.0,257.0
